INTID,hour,total_volume,los_score,LOS
3,2025-11-18 16:00:00,3174.0,2,B
3,2025-11-18 17:00:00,3121.0,2,B
3,2025-11-18 18:00:00,3615.0,2,B
3,2025-11-18 19:00:00,3507.0,2,B
3,2025-11-18 20:00:00,2542.0,2,B
3,2025-11-18 21:00:00,2107.0,1,A
3,2025-11-18 22:00:00,1375.0,1,A
3,2025-11-18 23:00:00,865.0,1,A
3,2025-11-19 00:00:00,396.0,1,A
3,2025-11-19 01:00:00,206.0,1,A
3,2025-11-19 02:00:00,167.0,1,A
3,2025-11-19 03:00:00,128.0,1,A
3,2025-11-19 04:00:00,194.0,1,A
3,2025-11-19 05:00:00,453.0,1,A
3,2025-11-19 06:00:00,1043.0,1,A
3,2025-11-19 07:00:00,2514.0,2,B
3,2025-11-19 08:00:00,3025.0,2,B
3,2025-11-19 09:00:00,2777.0,2,B
3,2025-11-19 10:00:00,2432.0,2,B
3,2025-11-19 11:00:00,2455.0,2,B
3,2025-11-19 12:00:00,2479.0,2,B
3,2025-11-19 13:00:00,2590.0,2,B
3,2025-11-19 14:00:00,2575.0,2,B
3,2025-11-19 15:00:00,2832.0,2,B
3,2025-11-19 16:00:00,2941.0,2,B
3,2025-11-19 17:00:00,3074.0,2,B
3,2025-11-19 18:00:00,3555.0,2,B
3,2025-11-19 19:00:00,3460.0,2,B
3,2025-11-19 20:00:00,2779.0,2,B
3,2025-11-19 21:00:00,2430.0,2,B
3,2025-11-19 22:00:00,1521.0,1,A
3,2025-11-19 23:00:00,914.0,1,A
3,2025-11-20 00:00:00,386.0,1,A
3,2025-11-20 01:00:00,205.0,1,A
3,2025-11-20 02:00:00,169.0,1,A
3,2025-11-20 03:00:00,136.0,1,A
3,2025-11-20 04:00:00,191.0,1,A
3,2025-11-20 05:00:00,435.0,1,A
3,2025-11-20 06:00:00,1041.0,1,A
3,2025-11-20 07:00:00,2484.0,2,B
3,2025-11-20 08:00:00,3068.0,2,B
3,2025-11-20 09:00:00,2446.0,2,B
3,2025-11-20 10:00:00,2128.0,1,A
3,2025-11-20 11:00:00,2160.0,1,A
3,2025-11-20 12:00:00,2279.0,2,B
3,2025-11-20 13:00:00,2486.0,2,B
3,2025-11-20 14:00:00,2414.0,1,A
3,2025-11-20 15:00:00,2601.0,2,B
3,2025-11-20 16:00:00,2803.0,2,B
3,2025-11-20 17:00:00,2815.0,2,B
3,2025-11-20 18:00:00,3154.0,2,B
3,2025-11-20 19:00:00,3190.0,2,B
3,2025-11-20 20:00:00,2573.0,2,B
3,2025-11-20 21:00:00,2082.0,1,A
3,2025-11-20 22:00:00,1706.0,1,A
3,2025-11-20 23:00:00,1191.0,1,A
3,2025-11-21 00:00:00,540.0,1,A
3,2025-11-21 01:00:00,387.0,1,A
3,2025-11-21 02:00:00,193.0,1,A
3,2025-11-21 03:00:00,178.0,1,A
3,2025-11-21 04:00:00,224.0,1,A
3,2025-11-21 05:00:00,447.0,1,A
3,2025-11-21 06:00:00,1069.0,1,A
3,2025-11-21 07:00:00,2518.0,2,B
3,2025-11-21 08:00:00,3095.0,2,B
3,2025-11-21 09:00:00,2568.0,2,B
3,2025-11-21 10:00:00,2705.0,2,B
3,2025-11-21 11:00:00,2639.0,2,B
3,2025-11-21 12:00:00,2670.0,2,B
3,2025-11-21 13:00:00,2846.0,2,B
3,2025-11-21 14:00:00,2975.0,2,B
3,2025-11-21 15:00:00,3241.0,2,B
3,2025-11-21 16:00:00,3426.0,2,B
3,2025-11-21 17:00:00,3193.0,2,B
3,2025-11-21 18:00:00,3444.0,2,B
3,2025-11-21 19:00:00,3295.0,2,B
3,2025-11-21 20:00:00,2810.0,2,B
3,2025-11-21 21:00:00,2239.0,1,A
3,2025-11-21 22:00:00,1816.0,1,A
3,2025-11-21 23:00:00,1375.0,1,A
3,2025-11-22 00:00:00,687.0,1,A
3,2025-11-22 01:00:00,399.0,1,A
3,2025-11-22 02:00:00,300.0,1,A
3,2025-11-22 03:00:00,243.0,1,A
3,2025-11-22 04:00:00,201.0,1,A
3,2025-11-22 05:00:00,295.0,1,A
3,2025-11-22 06:00:00,480.0,1,A
3,2025-11-22 07:00:00,957.0,1,A
3,2025-11-22 08:00:00,1241.0,1,A
3,2025-11-22 09:00:00,1875.0,1,A
3,2025-11-22 10:00:00,2392.0,2,B
3,2025-11-22 11:00:00,2685.0,2,B
3,2025-11-22 12:00:00,2698.0,2,B
3,2025-11-22 13:00:00,2713.0,2,B
3,2025-11-22 14:00:00,2733.0,2,B
3,2025-11-22 15:00:00,2617.0,2,B
3,2025-11-22 16:00:00,2587.0,2,B
3,2025-11-22 17:00:00,2688.0,2,B
3,2025-11-22 18:00:00,3148.0,2,B
3,2025-11-22 19:00:00,2739.0,2,B
3,2025-11-22 20:00:00,2519.0,2,B
3,2025-11-22 21:00:00,1948.0,1,A
3,2025-11-22 22:00:00,1596.0,1,A
3,2025-11-22 23:00:00,1270.0,1,A
4,2025-11-16 00:00:00,690.0,1,A
4,2025-11-16 01:00:00,492.0,1,A
4,2025-11-16 02:00:00,294.0,1,A
4,2025-11-16 03:00:00,194.0,1,A
4,2025-11-16 04:00:00,186.0,1,A
4,2025-11-16 05:00:00,217.0,1,A
4,2025-11-16 06:00:00,319.0,1,A
4,2025-11-16 07:00:00,637.0,1,A
4,2025-11-16 08:00:00,1122.0,1,A
4,2025-11-16 09:00:00,1473.0,1,A
4,2025-11-16 10:00:00,2257.0,1,A
4,2025-11-16 11:00:00,2765.0,2,B
4,2025-11-16 12:00:00,3141.0,2,B
4,2025-11-16 13:00:00,3536.0,2,B
4,2025-11-16 14:00:00,3303.0,2,B
4,2025-11-16 15:00:00,3170.0,2,B
4,2025-11-16 16:00:00,3063.0,2,B
4,2025-11-16 17:00:00,3286.0,2,B
4,2025-11-16 18:00:00,2604.0,2,B
4,2025-11-16 19:00:00,2838.0,2,B
4,2025-11-16 20:00:00,2187.0,2,B
4,2025-11-16 21:00:00,1585.0,1,A
4,2025-11-16 22:00:00,1155.0,1,A
4,2025-11-16 23:00:00,701.0,1,A
4,2025-11-17 00:00:00,351.0,1,A
4,2025-11-17 01:00:00,238.0,1,A
4,2025-11-17 02:00:00,122.0,1,A
4,2025-11-17 03:00:00,120.0,1,A
4,2025-11-17 04:00:00,193.0,1,A
4,2025-11-17 05:00:00,425.0,1,A
4,2025-11-17 06:00:00,1220.0,1,A
4,2025-11-17 07:00:00,2327.0,2,B
4,2025-11-17 08:00:00,3730.0,3,C
4,2025-11-17 09:00:00,3396.0,2,B
4,2025-11-17 10:00:00,3009.0,2,B
4,2025-11-17 11:00:00,3008.0,2,B
4,2025-11-17 12:00:00,3180.0,2,B
4,2025-11-17 13:00:00,3308.0,2,B
4,2025-11-17 14:00:00,3227.0,2,B
4,2025-11-17 15:00:00,3512.0,2,B
4,2025-11-17 16:00:00,3747.0,3,C
4,2025-11-17 17:00:00,3822.0,3,C
4,2025-11-17 18:00:00,3056.0,2,B
4,2025-11-17 19:00:00,3168.0,2,B
4,2025-11-17 20:00:00,2249.0,1,A
4,2025-11-17 21:00:00,1804.0,1,A
4,2025-11-17 22:00:00,1105.0,1,A
4,2025-11-17 23:00:00,619.0,1,A
4,2025-11-18 00:00:00,341.0,1,A
4,2025-11-18 01:00:00,148.0,1,A
4,2025-11-18 02:00:00,134.0,1,A
4,2025-11-18 03:00:00,118.0,1,A
4,2025-11-18 04:00:00,173.0,1,A
4,2025-11-18 05:00:00,469.0,1,A
4,2025-11-18 06:00:00,1151.0,1,A
4,2025-11-18 07:00:00,2320.0,2,B
4,2025-11-18 08:00:00,3726.0,3,C
4,2025-11-18 09:00:00,3603.0,2,B
4,2025-11-18 10:00:00,2966.0,2,B
4,2025-11-18 11:00:00,2996.0,2,B
4,2025-11-18 12:00:00,3175.0,2,B
4,2025-11-18 13:00:00,3234.0,2,B
4,2025-11-18 14:00:00,3298.0,2,B
4,2025-11-18 15:00:00,3503.0,2,B
4,2025-11-18 16:00:00,3806.0,3,C
4,2025-11-18 17:00:00,3764.0,3,C
4,2025-11-18 18:00:00,3325.0,2,B
4,2025-11-18 19:00:00,3480.0,2,B
4,2025-11-18 20:00:00,2481.0,2,B
4,2025-11-18 21:00:00,1948.0,1,A
4,2025-11-18 22:00:00,1317.0,1,A
4,2025-11-18 23:00:00,808.0,1,A
4,2025-11-19 00:00:00,409.0,1,A
4,2025-11-19 01:00:00,237.0,1,A
4,2025-11-19 02:00:00,160.0,1,A
4,2025-11-19 03:00:00,117.0,1,A
4,2025-11-19 04:00:00,200.0,1,A
4,2025-11-19 05:00:00,467.0,1,A
4,2025-11-19 06:00:00,1116.0,1,A
4,2025-11-19 07:00:00,2437.0,2,B
4,2025-11-19 08:00:00,3847.0,3,C
4,2025-11-19 09:00:00,3476.0,2,B
